"gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"MTCO2P12"	-0.0705756186379434	0.414279431566217	0.0173758906381742	0.89512853233375	0.918092176061894
"MTATP6P1"	0.212845186757657	3.25198279418923	0.337569686277096	0.561235415487223	0.874745055667071
"MTCO3P12"	-0.0539466110232552	-0.404857503813865	0.0099627989808937	0.920492134807337	0.91936796352399
"OR4F16"	0.047706026626924	1.62940495712754	0.011905317384862	0.913114061111041	0.91936796352399
"CICP3"	0.61085698842023	-0.683393796566285	1.10521418543721	0.293124649530988	0.769139034955727
"AL669831.1"	-0.157116238897783	6.58500666105498	0.265904022893523	0.60609271789036	0.881582308188352
"AL669831.4"	0.0844005158953645	0.449517753186578	0.0305543459362756	0.861238348377033	0.914263321634643
"LINC00115"	0.563489923224253	-0.207917649313036	1.2540306021542	0.262784048111247	0.748665138078759
"SAMD11"	1.10064598172277	0.629728538840817	5.2946413814076	0.0213911351023868	0.249200424890949
"NOC2L"	0.372200041206604	5.41498004809835	1.07931240907803	0.298851425693608	0.771812127368459
"KLHL17"	0.970245992332634	1.18169511541025	3.69576255379505	0.0545508415814679	0.412341123022016
"HES4"	1.11003565323954	0.349787804031934	3.88431170861873	0.0487392364104433	0.392060501118235
"ISG15"	-0.566418018670459	0.541843244423995	1.0214431264822	0.312176939924267	0.779849214516347
"AL645608.3"	0.599779845917347	-1.32616257705322	1.01032570013401	0.314824823990073	0.781225214483344
"AGRN"	0.527829228478489	5.94142423933723	2.51304029875652	0.112907915673689	0.580574531670917
"C1orf159"	-0.528682343519466	0.96057606051616	1.22291289847176	0.268789751152044	0.753907770749176
"SDF4"	0.272633290473716	3.98538013335414	0.531351556142667	0.466039190886372	0.846210008951901
"B3GALT6"	-0.313929924524317	-1.97703216629787	0.148791994051919	0.699692455154705	0.896586076830978
"C1QTNF12"	-1.63095337366309	-2.16092761592931	4.43687783612168	0.0351705097415275	0.328806096046381
"UBE2J2"	0.254415015213388	2.81614485395755	0.402445280053559	0.525829106899117	0.862649350333134
"SCNN1D"	-0.302167966062153	2.06883163232791	0.53046467570579	0.466411565684744	0.84637199332799
"ACAP3"	0.23487438199036	4.89705976022358	0.509857006933316	0.475200763236745	0.848376593560608
"PUSL1"	0.464676411348125	1.26995833714016	0.973461326689387	0.323818448509212	0.785297150592318
"INTS11"	-0.074157330353945	4.799880841678	0.0501548833549528	0.822793984083066	0.909887850258596
"CPTP"	0.443453750770325	0.30401190168029	0.469521803735887	0.493207243462286	0.853832875771478
"DVL1"	0.630178586548333	4.98607103655661	3.40152073576623	0.0651363418206452	0.448745237369741
"MXRA8"	0.316542002488492	1.47916639665196	0.469992936413373	0.492990418143113	0.853832875771478
"AURKAIP1"	0.102040978887429	2.35113078539634	0.0542470099594894	0.815831390014954	0.909519467061627
"CCNL2"	-0.244487412617483	5.65596611185643	0.656701671040331	0.417726798058033	0.826694188856651
"AL391244.1"	0.0820828777611921	1.23715600577329	0.0313560505611687	0.859448380988542	0.914263321634643
"ANKRD65"	-0.164717821696605	1.10634436182719	0.125703986080255	0.72292855344355	0.900232712328727
"VWA1"	0.072674625389943	2.53541462107918	0.0266538432959926	0.87031368882323	0.915084841636842
"AL645728.2"	0.60865084682995	-0.960389126369249	0.964692430384257	0.326007448153397	0.78681506225137
"ATAD3A"	0.0285131805664245	4.41758081667124	0.00652461313661234	0.935620828605002	0.919676126671694
"TAS1R3"	0.758275288256313	-0.448236166332041	1.73540416217065	0.187722204931431	0.685335590474853
"MRPL20"	-0.342302162663229	4.23953530407458	1.01522687068011	0.313653890617364	0.780584255736298
